Champion,Ability Type,Ability Name,Description
Mel,Ultimate,Golden Eclipse,"Mel strikes all enemies marked with Overwhelm regardless of their distance from her, dealing additional damage for each stack of Overwhelm.<br><br>Ranks of Golden Eclipse increase Overwhelm's damage."
Graves,Passive,New Destiny,"Graves' shotgun has some unique properties. He must reload when he runs out of ammo. Attacks fire 4 bullets, which cannot pass through units. Non-champions struck by multiple bullets are knocked back."
Graves,,End of the Line,"Graves fires an explosive shell that detonates after 1 second, or after colliding with terrain."
Graves,,Smoke Screen,Graves fires a smoke canister at the target area creating a cloud of smoke that reduces sight range. Enemies caught in the initial impact are dealt magic damage and have their Move Speed reduced briefly.
Graves,,Quickdraw,"Graves dashes forward gaining an Armor boost for several seconds. If Graves dashes towards an enemy champion, gain two stacks of True Grit instead. Hitting enemies with basic attacks lowers the cooldown of this skill and refreshes the resistance boost."
Graves,,Collateral Damage,"Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone."
Yasuo,Passive,Way of the Wanderer,"Yasuo's Critical Strike Chance is increased. Additionally, Yasuo builds toward a shield whenever he is moving. The shield triggers when he takes damage from a champion or monster."
Yasuo,,Steel Tempest,"Thrusts forward, damaging all enemies in a line.<br><br>On hit, grants a stack of Gathering Storm for a few seconds. At 2 stacks, Steel Tempest fires a whirlwind that knocks <font color='#6655CC'>Airborne</font>.<br><br>Steel Tempest is treated as a basic attack and scales with all the same things."
Yasuo,W,Wind Wall,Creates a moving wall that blocks all enemy projectiles for 4 seconds.
Yasuo,E,Sweeping Blade,"Dashes through target enemy, dealing magic damage. Each cast increases subsequent dash's damage, up to a max amount.<br><br>Cannot be re-cast on the same enemy for a few seconds.<br><br><font color='#99FF99'>If Steel Tempest is cast while dashing, it will strike as a circle.</font>"
Yasuo,Ultimate,Last Breath,"Blinks to an <factionIonia1>Airborne</factionIonia1> enemy champion, dealing physical damage and holding all <factionIonia1>Airborne</factionIonia1> enemies in the area in the air. Grants maximum Flow but resets all stacks of Gathering Storm.<br><br>For a moderate time afterwards, Yasuo's critical strikes gain significant Bonus Armor Penetration."
Kayn,Passive,The Darkin Scythe,"Kayn wields an ancient weapon and fights Rhaast, the darkin within it, for control. Either the <font color='#fe5c50'>Darkin</font> will triumph, or Kayn will master Rhaast and become the <font color='#8484fb'>Shadow Assassin</font>.<br><br><font color='#fe5c50'>Darkin:</font> Heal for a percentage of spell damage dealt to champions.<br><br><font color='#8484fb'>Shadow Assassin:</font> For the first few seconds in combat with enemy champions, deal bonus damage."
Kayn,Q,Reaping Slash,"Kayn dashes, then slashes. Both deal damage."
Kayn,W,Blade's Reach,Kayn damages and slows targets in a line.
Kayn,E,Shadow Step,Kayn can walk through terrain.
Kayn,Ultimate,Umbral Trespass,"Kayn hides in an enemy's body, dealing massive damage when he bursts out."
Akali,Passive,Assassin's Mark,Dealing spell damage to a champion creates a ring of energy around them. Exiting that ring empowers Akali's next Attack with bonus range and damage.
Akali,Q,Five Point Strike,"Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing."
Akali,W,Twilight Shroud,"Akali drops a cover of smoke and briefly gains Move Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  "
Akali,E,Shuriken Flip,"Flip backward and fire a shuriken forward, dealing magic damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage."
Akali,Ultimate,Perfect Execution,"Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes."
Neeko,Passive,Inherent Glamour,"Neeko can look like an ally champion or as other units on the map. Receiving immobilizing crowd control, casting damaging spells, damaging enemy towers as a non-champion, or your disguise taking damage equal to its healthbar breaks the disguise."
Neeko,Q,Blooming Burst,Neeko throws a seed dealing magic damage. The seed blooms again on hitting champions or killing units.
Neeko,W,Shapesplitter,"Neeko passively deals bonus magic damage every third attack, briefly increasing her move speed. Neeko can activate to send a clone in a direction and recast to change the direction of the clone."
Neeko,E,Tangle-Barbs,"Neeko slings a tangle that damages and roots everything it passes through. If the tangle kills an enemy or passes through a champion, it becomes larger, faster, and roots for longer."
Neeko,Ultimate,Pop Blossom,"After a short preparation, Neeko leaps into the air, knocking up all nearby enemies. Upon landing, nearby enemies are damaged and stunned. The preparation is hidden if Neeko is disguised."
Kindred,Passive,Mark of the Kindred,Kindred can mark targets to Hunt. Successfully completing a Hunt permanently empowers Kindred's basic abilities. Every 4 hunts completed also increases Kindred's basic attack range.
Kindred,Q,Dance of Arrows,Kindred tumbles and shoots up to three arrows at nearby targets.
Kindred,W,Wolf's Frenzy,"Wolf enrages and attacks enemies around him.  Lamb passively gains stacks by moving and attacking. When fully charged, Lamb's next attack restores health."
Kindred,,Mounting Dread,"Lamb fires a carefully placed shot, slowing the target. If Lamb attacks the target two more times, her third attack instead directs Wolf to pounce on the enemy, savaging them for massive damage."
Kindred,Ultimate,Lamb's Respite,"Lamb grants all living things inside a zone a respite from death. Until the effect ends, nothing can die. At the end, units are healed."
Akshan,Passive,Dirty Fighting,"Every three hits from Akshan's Attacks and Abilities deals bonus damage and grants him a Shield if the target was a champion.<br><br>When Akshan Attacks, he fires an additional Attack for reduced damage. If he cancels the additional Attack, he instead gains Move Speed."
Akshan,Q,Avengerang,"Akshan throws a boomerang that deals damage going out and coming back, extending its range each time it hits an enemy."
Akshan,W,Going Rogue,"Akshan passively marks enemy champions as Scoundrels when they kill his ally champions. If Akshan kills a Scoundrel, he resurrects the allies they killed, gains bonus gold, and clears all marks.<br><br>When activated, Akshan enters camouflage and gains Move Speed and Mana Regen while moving towards Scoundrels. Akshan loses the camouflage quickly while he is not in brush or near terrain."
Akshan,E,Heroic Swing,"Akshan fires a grappling hook into terrain then swings around it, repeatedly firing at the nearest enemy while swinging. He can jump off early or gets knocked off when colliding with champions or terrain."
Akshan,Ultimate,Comeuppance,"Akshan locks onto an enemy champion and starts storing bullets. When released, he fires all stored bullets, dealing damage based on missing health to the first champion, minion, or structure hit."
Elise,Passive,Spider Queen,"Human Form: When Elise's abilities hit an enemy, she gains a dormant Spiderling.<br><br>Spider Form: Basic attacks deal bonus magic damage and restore health to Elise."
Elise,Q,Neurotoxin / Venomous Bite,Human Form: Deals damage based upon how high the target's Health is.<br><br>Spider Form: Lunges at an enemy and deals damage based upon how low their Health is.
Elise,W,Volatile Spiderling / Skittering Frenzy,Human Form: Releases a venom-gorged Spiderling that explodes when it nears a target.<br><br>Spider Form: Elise and her Spiderlings gain Attack Speed.
Elise,E,Cocoon / Rappel,"Human Form: Stuns the first enemy unit hit and reveals them if they are not stealthed.<br><br>Spider Form: Elise and her Spiderlings ascend into the air and then descend upon target enemy. After descending on an enemy target, Elise's bonus damage and healing from Spider Queen is increased."
Elise,Ultimate,Spider Form,"Transforms into a menacing spider, reducing her attack range in exchange for Move Speed, new abilities, and a Spiderling swarm that will attack her foes."
Sylas,Passive,Petricite Burst,"After casting a spell, Sylas stores a charge of Petricite Burst. Sylas's basic attacks will expend a charge and whirl his energized chains around him dealing bonus magic damage to enemies hit. While Sylas has a charge of Petricite Burst, he gains attack speed. "
Sylas,Q,Chain Lash,"Sylas lashes his chains out, intersecting at his targeted location dealing damage to and slowing enemies. <br><br>After a delay, magical energy explodes from the intersection point dealing damage."
Sylas,W,Kingslayer,Sylas lunges at an enemy with magical force dealing damage and healing himself against enemy champions.
Sylas,E,Abscond / Abduct,"Sylas dashes to a location. Sylas can recast the ability to throw his chains out, pulling himself to an enemy he hits."
Sylas,Ultimate,Hijack,Sylas steals the enemy's ultimate ability and can cast it freely.
Karthus,Passive,Death Defied,"Upon dying, Karthus enters a spirit form that allows him to continue casting spells."
Karthus,,Lay Waste,"Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies. Deals increased damage to isolated enemies. "
Karthus,,Wall of Pain,Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Move Speed and Magic Resist reduced for a period.
Karthus,,Defile,"Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana."
Karthus,,Requiem,"After channeling for 3 seconds, Karthus deals damage to all enemy champions."
Sejuani,Passive,Fury of the North,"After being out of combat, Sejuani gains Frost Armor which grants Armor and Magic Resist and immunity to slows. Frost Armor persists for a short time after Sejuani takes damage.  Sejuani can damage a stunned enemy to shatter it, dealing massive magic damage."
Sejuani,Q,Arctic Assault,"Sejuani charges forward, knocking enemies into the air. The charge stops after hitting an enemy champion."
Sejuani,W,Winter's Wrath,"Sejuani swings her mace twice, dealing damage, slowing enemies and applying Frost stacks."
Sejuani,E,Permafrost,Sejuani freezes and stuns an enemy champion that has maximum Frost stacks.
Sejuani,Ultimate,Glacial Prison,Sejuani throws her bola that freezes and stuns the first champion hit and creates an ice storm that slows other enemies.
Sett,Passive,Pit Grit,"Sett's basic attacks alternate between left and right punch. Right punch is slightly stronger and faster. Sett also hates losing, gaining additional health regeneration based off of his missing health."
Sett,Q,Knuckle Down,Sett's next two attacks deal additional damage based off of the target's max health. Sett also gains Move Speed while moving towards enemy champions.
Sett,W,Haymaker,"Sett passively stores damage he takes as Grit. On cast, Sett expends all stored Grit to gain a shield and punch an area, dealing true damage in the center and physical damage on the sides."
Sett,E,Facebreaker,"Sett pulls in all enemies on opposite sides of him, dealing damage and stunning them. If enemies were only on one side, they are slowed instead of stunned."
Sett,Ultimate,The Show Stopper,"Sett carries an enemy champion through the air and slams them into the ground, dealing damage and slowing all enemies near where they land."
Warwick,Passive,Eternal Hunger,"Warwick's basic attacks deal bonus magic damage. If Warwick is below 50% health, he heals the same amount. If Warwick is below 25% health, this healing triples."
Warwick,Q,Jaws of the Beast,"Warwick lunges forward and bites his target, dealing damage based on their maximum health and healing for damage dealt."
Warwick,W,Blood Hunt,"Warwick senses enemies below 50% health, gaining Move Speed toward and attack speed against them. When they fall below 25% health, he frenzies and these bonuses triple."
Warwick,E,Primal Howl,"Warwick gains damage reduction for 2.5 seconds. At the end, or if re-activated, he howls, causing nearby enemies to flee for 1 second."
Warwick,Ultimate,Infinite Duress,"Warwick leaps in a direction (scaling with his bonus Move Speed), suppressing the first champion he collides with for 1.5 seconds."
Heimerdinger,Passive,Hextech Affinity,Gain Move Speed while near allied towers and turrets deployed by Heimerdinger.
Heimerdinger,Q,H-28 G Evolution Turret,Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).
Heimerdinger,W,Hextech Micro-Rockets,Heimerdinger fires long-range rockets that converge on his cursor.
Heimerdinger,E,CH-2 Electron Storm Grenade,"Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units."
Heimerdinger,Ultimate,UPGRADE!!!,"Heimerdinger invents an upgrade, causing his next spell to have increased effects. "
Sona,Passive,Power Chord,"<passive>Accelerando</passive>: Sona gains non-Ultimate ability haste permanently for her basic abilities as she uses her abilities well, up to a cap. Beyond that cap, further successful uses reduce her ultimate's remaining cooldown instead.<br><br><passive>Power Chord</passive>: Every few spell casts, Sona's next attack will deal bonus magic damage in addition to an additional effect based on what basic Ability Sona last activated."
Sona,Q,Hymn of Valor,"Sona plays the Hymn of Valor, sends out bolts of sound, dealing magic damage to two nearby enemies, prioritizing champions and monsters. Sona gains a temporary aura that grants allies tagged by the zone bonus damage on their next attack against enemies."
Sona,W,Aria of Perseverance,"Sona plays the Aria of Perseverance, sending out protective melodies, healing Sona and a nearby wounded ally. Sona gains a temporary aura that grants allies tagged by the zone a temporary shield."
Sona,E,Song of Celerity,"Sona plays the Song of Celerity, granting nearby allies bonus Move Speed. Sona gains a temporary aura that grants allied champions tagged by the zone bonus Move Speed."
Sona,Ultimate,Crescendo,"Sona plays her ultimate chord, stunning enemy champions and forcing them to dance and dealing magic damage to them."
TwistedFate,Passive,Loaded Dice,"Upon killing a unit, Twisted Fate rolls his 'lucky' dice receiving 1 to 6 bonus gold."
TwistedFate,,Wild Cards,"Twisted Fate throws three cards, dealing damage to each enemy unit they pass through."
TwistedFate,,Pick a Card,"Twisted Fate chooses a magic card from his deck, and uses that for his next attack, causing bonus effects."
TwistedFate,,Stacked Deck,"Every 4 attacks, Twisted Fate deals bonus damage. In addition, his Attack Speed is increased."
TwistedFate,,Destiny,"Twisted Fate predicts the fortunes of his foes, revealing all enemy champions and enabling the use of Gate, which teleports Twisted Fate to any target location in 1.5 seconds."
RekSai,Passive,Fury of the Xer'Sai,Rek'Sai generates Fury by Attacking and hitting with basic Abilities. She consumes this Fury while Burrowed to restore health.
RekSai,Q,Queen's Wrath / Prey Seeker,"Rek'Sai's next 3 basic attacks deal bonus Physical Damage to nearby enemies.<br><br>While Burrowed, Rek'Sai launches a burst of void-charged earth that damages and reveals enemies hit."
RekSai,W,Burrow / Un-burrow,"Rek'Sai burrows into the ground, gaining new abilities and increased Move Speed. Her vision range is reduced and she cannot use basic attacks.<br><br>While Burrowed, Rek'Sai may cast Unburrow to knock up and damage nearby enemies."
RekSai,E,Furious Bite / Tunnel,"Rek'Sai bites her target, dealing physical damage, or bonus true damage if she has max Fury.<br><br>While Burrowed, Rek'Sai creates a re-usable, long lasting tunnel. Enemies can destroy it by standing on top of either entrance."
RekSai,Ultimate,Void Rush,Rek'Sai passively marks targets by damaging them. She can activate this ability to become briefly untargetable and lunge at a marked target for heavy damage based on their maximum health.
Senna,Passive,Absolution,"When units die near Senna, their souls are periodically trapped by the Black Mist. Senna can attack these souls to free them, absorbing the Mist that held them in death. Mist fuels her Relic Cannon's power with increased Attack Damage, Attack Range, and Critical Strike Chance. <br><br>Attacks from Senna's Relic Cannon take longer to fire, deal bonus damage, and briefly grant her a portion of her target's Move Speed."
Senna,Q,Piercing Darkness,"From the twin barrels of her Relic Cannon, Senna fires a unified beam of light and shadow through a target, healing allies and damaging enemies."
Senna,W,Last Embrace,"Senna sends forth a wave of Black Mist. If it hits an enemy it latches onto them hungrily, rooting them and everything nearby after a brief delay."
Senna,E,Curse of the Black Mist,"Senna draws the Mist she has stored in her weapon into a storm around her, embracing darkness and becoming a wraith within. Allies who enter the area are camouflaged and also appear as wraiths as the Mist shrouds them. Wraiths gain increased Move Speed, are unselectable, and hide their identities."
Senna,Ultimate,Dawning Shadow,"Senna calls upon the relic stones of fallen Sentinels, splitting her relic cannon into a holy array of shadow and light. She then fires a global beam that shields allies from harm, while damaging enemies caught in the center."
Shaco,Passive,Backstab,Shaco's basic attacks and Two-Shiv Poison deal additional damage when striking from behind.
Shaco,,Deceive,"Shaco becomes Invisible and teleports to target location.<br><br>His first attack while Invisible is empowered, dealing bonus damage and critically striking if he attacks from behind."
Shaco,,Jack In The Box,"Shaco creates a hidden animated Jack-in-the-Box. When triggered, it will fear and attack nearby enemies."
Shaco,,Two-Shiv Poison,"Shaco's Shivs passively poison targets on hit, slowing their Move Speed. He can throw his Shivs to deal damage and poison the target. The thrown Shiv deals bonus damage if the target is below 30% health."
Shaco,,Hallucinate,"Shaco creates an illusion of himself near him, which can attack nearby enemies (Deals reduced damage to turrets).  Upon death, it explodes, spawning three mini Jack in the Boxes and dealing damage to nearby enemies."
Jayce,Passive,Hextech Capacitor,When Jayce swaps weapons he gains Move Speed for a short duration.
Jayce,,To the Skies! / Shock Blast,Hammer Stance: Leaps to an enemy dealing physical damage and slowing enemies.<br><br>Cannon Stance: Fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path) dealing physical damage to all enemies hit.
Jayce,,Lightning Field / Hyper Charge,"Hammer Stance: Passive: Restores Mana per strike. Active: Creates a field of lightning damaging nearby enemies for several seconds.<br><br>Cannon Stance: Gains a burst of energy, increasing Attack Speed to maximum for several attacks."
Jayce,,Thundering Blow / Acceleration Gate,"Hammer Stance: Deals magic damage to an enemy and knocks them back a short distance.<br><br>Cannon Stance: Deploys an Acceleration Gate increasing the Move Speed of all allied champions who pass through it. If Shock Blast is fired through the gate the missile speed, range, and damage will increase."
Jayce,,Mercury Cannon / Mercury Hammer,Hammer Stance: Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist.<br><br>Cannon Stance: Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increasing Armor and Magic Resist. The first attack in this form deals additional magic damage.
Ornn,Passive,Living Forge,"Ornn gains an additional bonus Armor and Magic Resist from all sources.<br><br>Ornn can spend gold to forge non-consumable items anywhere.<br><br>Additionally, he can create masterwork items for himself and for his allies."
Ornn,Q,Volcanic Rupture,"Ornn slams the ground, sending out a fissure dealing damage and slowing enemies hit. After a small delay, a magma pillar forms at the end location."
Ornn,W,Bellows Breath,"Ornn advances, breathing fire. Enemies hit by the final gout of flame become Brittle."
Ornn,E,Searing Charge,"Ornn charges, dealing damage to enemies he passes through. If Ornn collides with terrain while charging, the impact creates a shockwave around him which deals damage and knocks up enemies."
Ornn,Ultimate,Call of the Forge God,"Ornn summons a massive elemental at a location which travels toward him with increasing speed. Enemies run over by the elemental take damage, are slowed and are made Brittle. Ornn can recast the ability to charge into the elemental, redirecting it in the direction he hits it, causing the elemental to affect any enemies it runs over to be knocked up, dealing the same damage and re-applying Brittle."
Kennen,Passive,Mark of the Storm,Kennen stuns enemies he hits 3 times with his abilities.
Kennen,,Thundering Shuriken,"Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits."
Kennen,,Electrical Surge,"Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked."
Kennen,,Lightning Rush,"Kennen morphs into a lightning form, enabling him to pass through units and apply a Mark of the Storm. Kennen gains Move Speed when entering this form, and attack speed when leaving it."
Kennen,,Slicing Maelstrom,Kennen summons a storm that strikes at nearby enemy champions for magical damage.
Varus,Passive,Living Vengeance,"On kill or assist, Varus temporarily gains Attack Damage and Ability Power. This bonus is larger if the enemy is a champion."
Varus,Q,Piercing Arrow,Varus readies and then fires a powerful shot that gains extra range and damage the longer he spends preparing to fire.
Varus,W,Blighted Quiver,"Passive: Varus' basic attacks deal bonus magic damage and apply Blight. Varus' other abilities detonate Blight, dealing magic damage based on the target's maximum Health. Active: Varus empowers his next Piercing Arrow."
Varus,E,Hail of Arrows,Varus fires a hail of arrows that deal physical damage and desecrate the ground. Desecrated ground slows enemies' Move Speed and reduces their self healing and regeneration.
Varus,Ultimate,Chain of Corruption,"Varus flings out a damaging tendril of corruption that immobilizes the first enemy champion hit and then spreads towards nearby uninfected champions, immobilizing them too on contact."
Nautilus,Passive,Staggering Blow,Nautilus' first Attack against a target deals increased physical damage and roots them briefly.
Nautilus,,Dredge Line,"Nautilus hurls his anchor forward.  Colliding with an enemy pulls them and Nautilus together, dealing magic damage.  Colliding with terrain pulls Nautilus towards it."
Nautilus,,Titan's Wrath,"Nautilus gains a temporary Shield.  While it persists, his Attacks deal damage over time to his target and surrounding enemies."
Nautilus,,Riptide,Nautilus creates three exploding waves around himself. Each explosion damages and slows enemies.
Nautilus,,Depth Charge,"Nautilus fires a shockwave into the earth that chases an opponent. This shockwave rips up the earth above it, knocking enemies into the air. When it reaches the opponent, the shockwave erupts, knocking his target into the air and stunning them."
Rumble,Passive,Junkyard Titan,"Every spell Rumble casts gives him Heat. When he reaches 50% Heat he reaches Danger Zone, granting all his basic abilities bonus effects. When he reaches 100% Heat, he starts Overheating, gaining bonus Attack Speed and granting his basic attacks bonus damage, but making him unable to cast spells for a few seconds."
Rumble,,Flamespitter,"Rumble torches opponents in front of him, dealing magic damage in a cone for 3 seconds. While in Danger Zone this damage is increased."
Rumble,,Scrap Shield,"Rumble pulls up a shield, protecting him from damage and granting him a quick burst of speed. While in Danger Zone, the shield strength and speed bonus is increased."
Rumble,,Electro Harpoon,"Rumble launches a harpoon, electrocuting his target with magic damage, slowing their Move Speed, and reducing their Magic Resist. Rumble can carry 2 harpoons at a time. While in Danger Zone the damage and slow percentage is increased."
Rumble,,The Equalizer,"Rumble fires off a group of rockets, creating a wall of flames that damages and slows enemies."
Mordekaiser,Passive,Darkness Rise,Mordekaiser gains a powerful damage aura and Move Speed after landing 3 attacks or spells against champions or monsters.
Mordekaiser,Q,Obliterate,Mordekaiser smashes the ground with his mace dealing damage to each enemy struck. Damage is increased when hitting a single enemy.
Mordekaiser,W,Indestructible,Mordekaiser stores damage he deals and takes to create a shield. He may consume the shield to heal.
Mordekaiser,E,Death's Grasp,Mordekaiser pulls all enemies in an area.
Mordekaiser,Ultimate,Realm of Death,"Mordekaiser drags his victim to a different dimension with him and steals a portion of their stats. If he kills them, he keeps the stats until the victim respawns."
LeeSin,Passive,Flurry,"After Lee Sin uses an ability, his next 2 basic attacks gain Attack Speed and return Energy."
LeeSin,,Sonic Wave / Resonating Strike,"Sonic Wave: Lee Sin projects a discordant wave of sound to locate his enemies, dealing physical damage to the first enemy it encounters. If Sonic Wave hits, Lee Sin can cast Resonating Strike for the next 3 seconds.<br>Resonating Strike: Lee Sin dashes to the enemy hit by Sonic Wave, dealing physical damage based on the target's missing Health."
LeeSin,,Safeguard / Iron Will,"Safeguard: Lee Sin rushes to target ally, shielding himself from damage. If the ally is a champion, they are also shielded. After using Safeguard, Lee Sin can cast Iron Will.<br>Iron Will: Lee Sin's intense training allows him to thrive in battle. Lee Sin gains Life Steal and Spell Vamp."
LeeSin,,Tempest / Cripple,"Tempest: Lee Sin smashes the ground, sending out a shockwave that deals magic damage and reveals enemy units hit. If Tempest hits an enemy, Lee Sin can cast cripple.<br>Cripple: Lee Sin cripples nearby enemies damaged by Tempest, reducing their Move Speed. Move Speed recovers gradually over the duration."
LeeSin,Ultimate,Dragon's Rage,"Lee Sin performs a powerful roundhouse kick launching his target back, dealing physical damage to the target and any enemies they collide with. Enemies the target collides with are knocked into the air for a short duration. This technique was taught to him by Jesse Perring, although Lee Sin does not kick players off the map."
Aurora,Passive,Spirit Abjuration,Aurora's spells and attacks exorcise spirits from the enemies she damages. Exorcised spirits follow Aurora around and heal her.
Aurora,Q,Twofold Hex,"Aurora sends out a missile that curses any enemies it hits. She can then recast the ability to draw active curses back toward herself, damaging foes who are hit along the way."
Aurora,W,Across the Veil,"Aurora leaps in a direction of her choosing, entering the spirit realm upon landing, becoming invisible, and gaining Move Speed for a short duration of time."
Aurora,E,The Weirding,"Aurora converges the realms, sending out a blast of spirit magic that damages and slows enemies before Aurora hops backward to safety."
Aurora,Ultimate,Between Worlds,"Aurora leaps in a direction of her choosing, releasing a shockwave that damages and slows any enemies it hits. Afterward, she creates an area that slows enemies within it and allows Aurora to teleport from one side of the area to the other."
Veigar,Passive,Phenomenal Evil Power,Veigar is the greatest Evil to ever strike at the hearts of Runeterra - and he's only getting bigger! Striking an enemy Champion with a spell or scoring a takedown grants Veigar permanently increased Ability Power.
Veigar,,Baleful Strike,Veigar unleashes a bolt of dark energy that deals magic damage to the first two enemies hit. Units killed by this bolt grant Veigar some ability power permanently.
Veigar,,Dark Matter,"Veigar calls a great mass of dark matter to fall from the sky to the target location, dealing magic damage when it lands. Stacks of Phenomenal Evil reduce Dark Matter's cooldown."
Veigar,,Event Horizon,"Veigar twists the edges of space, creating a cage that Stuns enemies that pass through."
Veigar,Ultimate,Primordial Burst,"Blasts target enemy champion, dealing a large amount of magic damage, increasing based on the target's missing health."
Tryndamere,Passive,Battle Fury,"Tryndamere gains Fury for each attack, critical strike, and killing blow he makes. Fury passively increases his Critical Strike Chance and can be consumed with his Bloodlust spell."
Tryndamere,Q,Bloodlust,"Tryndamere thrives on the thrills of combat, increasing his Attack Damage as he is more and more wounded. He can cast Bloodlust to consume his Fury and heal himself."
Tryndamere,W,Mocking Shout,"Tryndamere lets out an insulting cry, decreasing surrounding champions' Attack Damage. Enemies with their backs turned to Tryndamere also have their Move Speed reduced."
Tryndamere,E,Spinning Slash,"Tryndamere slices toward a target unit, dealing damage to enemies in his path."
Tryndamere,,Undying Rage,"Tryndamere's lust for battle becomes so strong that he is unable to die, no matter how wounded he becomes."
Ivern,Passive,Friend of the Forest,"Ivern cannot attack or be attacked by non-epic monsters. Ivern can create magical groves on jungle camps which grow over time. When the grove is fully grown, Ivern may free the monsters to receive gold and experience."
Ivern,Q,Rootcaller,"Ivern conjures a vine, dealing damage and rooting enemy targets hit. Ivern's allies can dash to the rooted target."
Ivern,W,Brushmaker,"In brush, Ivern and his nearby allies attacks deal bonus magic damage. Ivern can activate this ability to create a patch of brush."
Ivern,E,Triggerseed,Ivern places a shield on an ally which explodes after a short duration slowing and damaging enemies. The shield refreshes if it hits no enemies.
Ivern,Ultimate,Daisy!,Ivern summons his Sentinel friend Daisy to fight with him. Re-cast command Daisy to attack or move.
Xerath,Passive,Mana Surge,"Xerath's basic attacks periodically restore Mana. Whenever Xerath kills a unit, this cooldown is reduced."
Xerath,,Arcanopulse,"Fires a long-range beam of energy, dealing magic damage to all targets hit."
Xerath,,Eye of Destruction,"Calls down a barrage of arcane energy, slowing and dealing magic damage to all enemies in an area. Targets in the middle receive additional damage and a stronger slow."
Xerath,,Shocking Orb,Deals magic damage to an enemy and stuns them.
Xerath,,Rite of the Arcane,Xerath immobilizes himself and gains numerous long-range barrages.
Thresh,Passive,Damnation,"Thresh can harvest the souls of enemies that die near him, permanently granting him Armor and Ability Power."
Thresh,Q,Death Sentence,Thresh binds an enemy in chains and pulls them toward him. Activating this ability a second time pulls Thresh to the enemy.
Thresh,W,Dark Passage,Thresh throws out a lantern that shields nearby allied Champions from damage. Allies can click the lantern to dash to Thresh.
Thresh,E,Flay,"Thresh's attacks wind up, dealing more damage the longer he waits between attacks. When activated, Thresh sweeps his chain, knocking all enemies hit in the direction of the blow."
Thresh,,The Box,A prison of walls that slow and deal damage if broken.
Talon,Passive,Blade's End,"Talon's spells Wound champions and large monsters, stacking up to 3 times. When Talon attacks a champion with 3 stacks of Wound, they bleed for heavy damage over time."
Talon,Q,Noxian Diplomacy,"Talon stabs the target unit. If they are within melee range, this attack deals critical damage. If they are outside melee range, Talon will leap at his target before stabbing them. Talon refunds some health and cooldown if this ability kills the target."
Talon,W,Rake,"Talon sends out a volley of daggers that then return back to him, dealing physical damage every time it passes through an enemy. The returning blades deal bonus damage and slow units hit."
Talon,E,Assassin's Path,"Talon vaults over any terrain or structure, up to a max distance. This ability has a low cooldown, but puts the used terrain on a long cooldown."
Talon,Ultimate,Shadow Assault,"Talon disperses a ring of blades and becomes Invisible while gaining additional Move Speed. When Talon emerges from Invisibility, the blades converge on his location. Each time the blades move, Shadow Assault deals physical damage to enemies hit by at least one blade."
Ryze,Passive,Arcane Mastery,"<mainText>Ryze's spells deal extra damage based on his Bonus Mana, and he gains a percentage increase to his maximum Mana based on his Ability Power.</mainText>"
Ryze,,Overload,"Passively, Ryze's other basic abilities reset the cooldown of Overload and charge a rune. When Ryze casts Overload with 2 runes charged, he gains a brief burst of Move Speed.<br><br>On cast, Ryze throws a charge of pure energy in a line, dealing damage to the first enemy struck. If the target has Flux on it, Overload deals extra damage and bounces to nearby enemies with Flux."
Ryze,W,Rune Prison,"Ryze traps a target in a cage of runes, damaging them and slowing their movement. If the target has Flux on it, they are instead rooted."
Ryze,E,Spell Flux,Ryze releases an orb of pure magical power that damages an enemy and debuffs all nearby enemies. Ryze's spells have additional effects against the debuffed enemy.
Ryze,Ultimate,Realm Warp,"Passively, Overload deals even more damage against targets with Flux.<br><br>On cast, Ryze creates a portal to a nearby location. After a few seconds, allies standing near the portal are teleported to the target location."
Viktor,Passive,Glorious Evolution,"Viktor gains Hex Fragments whenever he kills an enemy. With every 100 Hex Fragments he obtains, Viktor permanently augments an active ability. After upgrading all of his basic abilities, he can gather 100 Hex Fragments to augment his ultimate ability."
